cue_id,start_chunk,end_chunk,prompt
C00,0,1,"[C00] Night aerial over a flooded cyberpunk megacity, neon kanji signs reflecting on rain, same courier in chrome trench coat visible on a rooftop, cinematic wide lens, heavy motion in traffic lanes."
C01,2,3,"[C01] Camera descends toward the courier, drones crossing foreground, steam vents pulsing, same courier clutching a glowing blue data shard, dynamic parallax, rain streaks on lens."
C02,4,4,"[C02] Tight tracking close-up of courier sprinting down metal stairs, blue shard flicker lighting the face, crowd movement behind, wet surfaces sparkling."
C03,5,6,"[C03] Street-level chase begins, handheld camera, courier weaving through market stalls, hologram ads glitching, scooters and pedestrians crossing frame."
C04,7,8,"[C04] Overhead drone scan sweeps the alley, red scan lines pass over moving crowd, courier ducks under scaffolding, fast lateral camera movement."
C05,9,10,"[C05] Courier enters a narrow neon tunnel, reflections on puddles, passing train lights strobing through vents, sustained forward dolly."
C06,11,11,"[C06] Giant billboard glitches and reveals encrypted symbol matching the blue shard, crowd briefly freezes then resumes, camera whip-pan back to courier."
C07,12,13,"[C07] Courier leaps onto a moving maglev platform, sparks and rain spray, side tracking shot with strong depth and foreground occlusion."
C08,14,15,"[C08] Rooftop sprint across connected towers, wind and rain intensify, helicopter spotlight searching, long-lens compression with rapid background motion."
C09,16,16,"[C09] Rooftop confrontation: masked interceptor appears, both characters circling, shard glow pulsing, tight circular camera move."
C10,17,18,"[C10] Courier deploys holographic decoys, three ghost copies split directions, interceptor hesitates, chaotic neon fog and volumetric light."
C11,19,20,"[C11] Courier slips into tram interior, passengers sway, city lights streak through windows, close tracking shot on hand passing shard to unknown ally."
C12,21,21,"[C12] Sudden district blackout, only shard glow and emergency strips remain, camera slows, rain still visible outside."
C13,22,23,"[C13] Grid reboots in waves, signs relight sequentially, ally runs through alley with shard, low-angle chase with puddle splashes."
C14,24,25,"[C14] Elevated bridge standoff above traffic river, interceptor closes distance, thunder and lightning, dramatic push-in on shard."
C15,26,26,"[C15] EMP pulse detonates, neon signs flick off in concentric pattern, debris and rain suspended for a beat, intense contrast."
C16,27,28,"[C16] Dawn edge appears on horizon, city transitions from neon to cold blue daylight, courier escapes toward harbor, smoother steadicam motion."
C17,29,29,"[C17] Final reveal: shard unlocks hidden map in the sky, courier silhouette on pier, rain easing, cinematic closing frame with subtle motion."
